Date,Open,High,Low,Close,Volume
19-Sep-14,77.40,78.30,76.44,77.91,76671330
18-Sep-14,76.77,77.33,76.52,77.00,23030936
17-Sep-14,75.96,77.25,75.57,76.43,28693348
16-Sep-14,73.52,76.23,73.07,76.08,37742482
15-Sep-14,77.15,77.25,73.43,74.58,49679130
12-Sep-14,78.02,78.30,77.10,77.48,26744356
11-Sep-14,77.13,78.36,77.05,77.92,32247724
10-Sep-14,76.52,77.95,76.51,77.43,29908606
9-Sep-14,77.59,78.17,76.20,76.67,28881803
8-Sep-14,77.26,78.17,77.01,77.89,28183156
5-Sep-14,76.10,77.38,75.60,77.26,29475854
4-Sep-14,75.89,76.93,75.53,75.95,26676444
3-Sep-14,77.14,77.48,75.60,75.83,32389102
2-Sep-14,75.01,76.70,74.82,76.68,34979438
29-Aug-14,74.30,74.82,74.01,74.82,26241162
28-Aug-14,74.00,74.43,73.73,73.86,21946738
27-Aug-14,75.27,75.49,74.46,74.63,36323060
26-Aug-14,75.00,75.99,74.73,75.96,23992668
25-Aug-14,74.94,75.28,74.79,75.02,19734103
22-Aug-14,74.34,74.73,73.57,74.57,20897393
21-Aug-14,74.92,75.19,74.41,74.57,20101979
20-Aug-14,74.97,75.18,74.62,74.81,22916678
19-Aug-14,74.81,75.58,74.77,75.29,26678640
18-Aug-14,74.00,74.72,73.96,74.59,23973658
15-Aug-14,74.32,74.65,73.00,73.63,38909161
14-Aug-14,73.97,74.38,73.69,74.30,22207019
13-Aug-14,73.12,74.25,73.05,73.77,29265662
12-Aug-14,73.09,73.33,72.22,72.83,27418983
11-Aug-14,73.46,73.91,73.06,73.44,24591177
8-Aug-14,73.40,73.43,72.56,73.06,27202325
7-Aug-14,73.00,74.00,72.70,73.17,38140550
6-Aug-14,72.02,73.72,71.79,72.47,30985533
5-Aug-14,73.51,73.59,72.18,72.69,34986147
4-Aug-14,72.36,73.88,72.36,73.51,30776819
1-Aug-14,72.22,73.22,71.55,72.36,43535314
31-Jul-14,74.00,74.16,72.44,72.65,43991772
30-Jul-14,74.21,75.19,74.13,74.68,36853018
29-Jul-14,74.72,74.92,73.42,73.71,41324470
28-Jul-14,75.17,75.50,73.85,74.92,41725249
